scenario,wall_u,window_u,window_shgc,roof_u,transmittance,heating_load,heating_load_m2 ,cooling_load,cooling_load_m2
Baseline,0.2036,0.72,0.5273,0.1183,0,3300.9,18.42,519.5,2.90
1,0.1,0.75,0.35,0.1,0.2,1917.42,10.7,984.79,5.5
2,0.1,0.75,0.35,0.1,0.4,1798.26,10.04,1248.65,6.97
3,0.1,0.75,0.35,0.1,0.6,1693.4,9.45,1540.08,8.6
4,0.1,0.75,0.35,0.1,0.8,1596.27,8.91,1853.85,10.35
5,0.1,0.75,0.35,0.17,0.2,2168.1,12.1,912.58,5.09
6,0.1,0.75,0.35,0.17,0.4,2037.04,11.37,1162.89,6.49
7,0.1,0.75,0.35,0.17,0.6,1926.93,10.75,1442.45,8.05
8,0.1,0.75,0.35,0.17,0.8,1823.71,10.18,1744.91,9.74
9,0.1,0.75,0.35,0.25,0.2,2452.98,13.69,844.62,4.71
10,0.1,0.75,0.35,0.25,0.4,2309.74,12.89,1083.22,6.05
11,0.1,0.75,0.35,0.25,0.6,2194.76,12.25,1351.54,7.54
12,0.1,0.75,0.35,0.25,0.8,2087.02,11.65,1643.17,9.17
13,0.1,0.75,0.35,0.32,0.2,2700.02,15.07,794.44,4.43
14,0.1,0.75,0.35,0.32,0.4,2549.16,14.23,1024.6,5.72
15,0.1,0.75,0.35,0.32,0.6,2429.49,13.56,1284.71,7.17
16,0.1,0.75,0.35,0.32,0.8,2318.07,12.94,1567.89,8.75
17,0.1,0.75,0.35,0.4,0.2,2975.77,16.61,746.42,4.17
18,0.1,0.75,0.35,0.4,0.4,2815.87,15.72,968.25,5.4
19,0.1,0.75,0.35,0.4,0.6,2690.56,15.02,1219.24,6.8
20,0.1,0.75,0.35,0.4,0.8,2576.68,14.38,1494.6,8.34
21,0.1,0.75,0.43,0.1,0.2,1884.03,10.52,1048.26,5.85
22,0.1,0.75,0.43,0.1,0.4,1744.52,9.74,1393.31,7.78
23,0.1,0.75,0.43,0.1,0.6,1619.25,9.04,1776.54,9.92
24,0.1,0.75,0.43,0.1,0.8,1505.51,8.4,2188.96,12.22
25,0.1,0.75,0.43,0.17,0.2,2130.71,11.89,972.61,5.43
26,0.1,0.75,0.43,0.17,0.4,1980.77,11.06,1301.38,7.26
27,0.1,0.75,0.43,0.17,0.6,1848.23,10.32,1669.99,9.32
28,0.1,0.75,0.43,0.17,0.8,1726.75,9.64,2070.87,11.56
29,0.1,0.75,0.43,0.25,0.2,2413.35,13.47,902.1,5.03
30,0.1,0.75,0.43,0.25,0.4,2250.81,12.56,1215.97,6.79
31,0.1,0.75,0.43,0.25,0.6,2112.69,11.79,1570.84,8.77
32,0.1,0.75,0.43,0.25,0.8,1984.82,11.08,1959.81,10.94
33,0.1,0.75,0.43,0.32,0.2,2659.19,14.84,850.25,4.75
34,0.1,0.75,0.43,0.32,0.4,2487.17,13.88,1152.95,6.43
35,0.1,0.75,0.43,0.32,0.6,2344.72,13.09,1497.61,8.36
36,0.1,0.75,0.43,0.32,0.8,2211.95,12.35,1876.79,10.47
37,0.1,0.75,0.43,0.4,0.2,2932.95,16.37,800.3,4.47
38,0.1,0.75,0.43,0.4,0.4,2749.61,15.35,1091.66,6.09
39,0.1,0.75,0.43,0.4,0.6,2603.9,14.53,1426.28,7.96
40,0.1,0.75,0.43,0.4,0.8,2467.5,13.77,1794.96,10.02
41,0.1,0.75,0.51,0.1,0.2,1852.57,10.34,1116.6,6.23
42,0.1,0.75,0.51,0.1,0.4,1690.83,9.44,1549.57,8.65
43,0.1,0.75,0.51,0.1,0.6,1546.98,8.63,2033.02,11.35
44,0.1,0.75,0.51,0.1,0.8,1418.19,7.92,2550.67,14.24
45,0.1,0.75,0.51,0.17,0.2,2095.49,11.7,1037.32,5.79
46,0.1,0.75,0.51,0.17,0.4,1924.23,10.74,1451.51,8.1
47,0.1,0.75,0.51,0.17,0.6,1770.84,9.88,1918.84,10.71
48,0.1,0.75,0.51,0.17,0.8,1633.78,9.12,2422.79,13.52
