Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling
1,1,0.52,0.24,0.1,0.4,34655.1465333958,15763.6202267873
2,1,0.66,0.8,0.46,0.6,45612.74124316,19604.7581630404
3,0.5,0.38,0.1,0.7,0.2,45811.895588343,12818.6829166061
4,2.5,0.8,0.52,0.34,0.4,48981.197893367,18877.1958267342
5,1,0.52,0.66,0.7,0.6,51405.987923037,17734.2677801358
6,2,0.1,0.52,0.22,0.2,55007.6619857261,9208.78570108031
7,0.5,0.1,0.8,0.58,0.6,54132.119456357,10980.5514650117
8,1.5,0.52,0.38,0.1,0.6,38853.2004848515,17099.4905502136
9,2.5,0.1,0.24,0.46,0.6,60683.9665442309,9697.11572997636
10,3,0.52,0.24,0.58,0.4,58442.4969195525,15198.3418519196
11,0.5,0.24,0.24,0.7,0.4,48991.8837665374,12192.2457179626
12,3,0.52,0.8,0.34,0.2,59261.6346911831,14199.7975710621
13,2.5,0.24,0.8,0.22,0.2,57978.5161327772,11111.4287388604
14,2,0.1,0.24,0.1,0.2,49206.4923230452,8549.73782235579
15,2,0.38,0.38,0.1,0.4,45023.8032195942,13313.8613430569
16,2,0.52,0.38,0.34,0.2,49553.6987805967,13970.4404702162
17,3,0.52,0.8,0.46,0.6,60208.2413515646,17002.3343096414
18,3,0.66,0.24,0.22,0.6,47337.0413723771,18289.9929298737
19,3,0.38,0.8,0.7,0.6,67617.2643060929,15225.0765711593
20,3,0.38,0.1,0.22,0.2,51957.6883740131,11637.2172176168
21,1.5,0.24,0.38,0.34,0.6,49621.6712700969,12417.9177020852
22,2,0.52,0.1,0.46,0.6,47668.0481166409,16619.3519421998
23,3,0.1,0.8,0.34,0.6,65996.6810962918,10210.0026665378
24,1.5,0.66,0.8,0.22,0.6,43606.5120997277,19356.6982443063
25,1.5,0.24,0.52,0.22,0.2,49077.6431051975,10845.5886902374
26,3,0.66,0.66,0.1,0.6,48383.1824577244,18641.095796556
27,1,0.8,0.38,0.1,0.2,33428.9413647828,17652.2426523298
28,3,0.66,0.66,0.1,0.2,50245.039075075,15360.7973933462
29,2.5,0.38,0.24,0.58,0.4,57915.4228120405,13511.3798799831
30,1,0.66,0.52,0.46,0.4,43972.9341571294,17996.4603834291
31,0.5,0.1,0.8,0.34,0.2,49247.8948247952,9929.7612804932
32,1.5,0.38,0.52,0.46,0.4,51733.6211080621,13973.7896554814
33,1,0.24,0.66,0.1,0.2,43676.1258086936,10940.8714063877
34,2.5,0.1,0.1,0.1,0.4,50722.2778255214,8581.59382319818
35,2,0.1,0.24,0.46,0.2,57945.5338504987,9237.17034532413
36,2.5,0.1,0.52,0.7,0.2,68812.8988236254,10048.7496204211
37,3,0.66,0.52,0.7,0.6,60446.7054646256,18678.4510141482
38,2,0.24,0.1,0.1,0.2,45080.814384173,9979.59127949596
39,1.5,0.24,0.66,0.7,0.6,59942.6742774606,13192.198250962
40,2,0.24,0.52,0.34,0.6,54241.6451191749,12511.3256923648
41,1,0.38,0.38,0.22,0.4,41296.5311383647,13786.3208358463
42,3,0.52,0.66,0.46,0.4,59827.9545133895,15579.0343690682
43,1.5,0.66,0.38,0.46,0.2,47024.744752605,15830.8885821753
44,1,0.52,0.66,0.58,0.4,49767.0799788803,16378.2890118648
45,3,0.38,0.24,0.46,0.4,58244.9068838144,13289.99568287
46,2,0.52,0.66,0.58,0.2,57380.0440262546,14537.6918736039
47,1,0.1,0.8,0.22,0.6,49884.3511390244,10259.0651795965
48,2,0.8,0.24,0.58,0.6,47491.91467323,20386.2121485241
49,3,0.38,0.24,0.46,0.4,58244.9068838144,13289.99568287
50,0.5,0.66,0.52,0.46,0.2,41174.3457501199,16578.5912873305
51,2,0.1,0.52,0.34,0.2,57897.0558254899,9433.36984748371
52,1,0.24,0.8,0.58,0.2,56113.7713662354,11812.9281940152
53,0.5,0.52,0.66,0.34,0.2,41598.0367628058,15005.5296697144
54,2.5,0.52,0.66,0.7,0.6,61126.7743807642,17156.0595997152
55,2,0.38,0.24,0.58,0.2,55568.2791267528,12485.3915330716
56,2.5,0.66,0.66,0.58,0.4,57371.4203817035,17465.8014952586
57,0.5,0.24,0.52,0.1,0.4,37987.3179221013,11850.7840524661
58,2.5,0.1,0.24,0.1,0.4,52208.2065309618,8808.68875224186
59,3,0.24,0.66,0.34,0.2,62599.177736364,11115.9413080759
60,0.5,0.8,0.8,0.1,0.6,32085.3391596115,21366.0787589451
61,1,0.52,0.52,0.46,0.2,46790.4423632434,14644.2713016776
62,2.5,0.8,0.1,0.58,0.6,48971.984541927,20091.7108311318
63,1.5,0.8,0.24,0.34,0.6,39233.1877732066,20603.3365999025
64,1.5,0.24,0.24,0.46,0.2,51974.117214527,10829.0908148172
65,1,0.24,0.66,0.58,0.6,53938.847910642,13207.2294219905
66,0.5,0.66,0.24,0.46,0.4,37502.8002289474,18081.5731917213
67,2.5,0.8,0.38,0.22,0.6,43955.1243280484,20302.8573262894
68,1,0.38,0.24,0.34,0.6,42099.4075056376,14918.6873475603
69,1,0.52,0.1,0.58,0.6,43480.5984108146,17146.3377863628
70,1.5,0.52,0.38,0.7,0.6,52293.6507864269,17243.3839040158
71,0.5,0.24,0.1,0.34,0.6,39172.9229734526,12429.3018772144
72,0.5,0.8,0.24,0.34,0.6,32343.5262289924,21155.5799191761
73,1,0.52,0.66,0.46,0.4,47230.9216714291,16327.2123815012
74,1,0.8,0.24,0.22,0.4,33980.367867618,19433.5754658165
75,2.5,0.1,0.38,0.46,0.6,62055.0252582022,9906.90325093907
76,3,0.52,0.1,0.1,0.6,45039.2368336653,16099.5883110333
77,1,0.38,0.24,0.1,0.6,36201.7504679937,14798.35258472
78,0.5,0.52,0.38,0.1,0.6,31730.6823381877,17807.1012071321
79,2,0.66,0.38,0.34,0.4,46597.0593286848,17309.0788127144
80,0.5,0.52,0.38,0.46,0.2,41649.4638741333,14757.2318413955
81,0.5,0.8,0.66,0.22,0.6,33704.4030946162,21319.0945131084
82,2,0.24,0.66,0.46,0.4,58708.3824185826,12103.3808190113
83,2,0.1,0.1,0.1,0.2,47710.7128654283,8318.71870042621
84,2,0.52,0.38,0.7,0.2,57250.3210522416,14318.7470828158
85,3,0.24,0.52,0.46,0.2,64072.7621495605,11133.6847170217
86,0.5,0.52,0.8,0.34,0.6,41334.3486398203,18107.3225758206
87,1.5,0.24,0.66,0.34,0.2,53219.038110431,11221.1366045479
88,2.5,0.52,0.8,0.7,0.6,62295.6195539186,17268.2791504983
89,1.5,0.38,0.1,0.1,0.4,38808.4221018588,13065.5616937276
90,0.5,0.52,0.38,0.34,0.6,37485.0923956036,17766.1771020178
91,1,0.24,0.8,0.34,0.6,49844.1738198803,13106.8154206076
92,1.5,0.52,0.8,0.58,0.2,55297.2246929171,14839.0495981669
93,2.5,0.8,0.66,0.22,0.6,46550.9498815099,20463.5187573404
94,3,0.52,0.52,0.46,0.4,58588.2106656313,15430.1743524911
95,0.5,0.8,0.24,0.22,0.4,30395.7005675367,19780.4046275871
96,1,0.1,0.38,0.1,0.6,42982.3946449939,9476.32958864843
97,2,0.1,0.52,0.7,0.4,65416.8079031202,10308.7094574333
98,2.5,0.8,0.8,0.1,0.6,44839.7142803418,20533.324975707
99,0.5,0.66,0.38,0.34,0.4,36299.1652563557,18229.5905283871
100,3,0.52,0.38,0.34,0.4,54584.5176316963,15175.5615185756
101,2.5,0.52,0.24,0.46,0.2,53934.7141784943,13760.7952819169
102,1.5,0.1,0.66,0.1,0.2,49755.4900034127,9184.28716559475
103,2.5,0.38,0.66,0.7,0.2,65029.0680530609,13091.404028189
104,3,0.52,0.1,0.22,0.4,48832.4409759318,14717.0661851707
105,2.5,0.1,0.8,0.58,0.2,68743.9602916509,10193.9223589359
106,0.5,0.38,0.1,0.7,0.2,45811.895588343,12818.6829166061
107,0.5,0.52,0.66,0.7,0.2,49241.1451597104,15239.913247335
108,1.5,0.66,0.66,0.46,0.6,47804.1424369593,19266.2262646809
109,1,0.1,0.1,0.34,0.4,46315.710090697,9163.99211582846
110,0.5,0.52,0.24,0.58,0.2,42779.4844914795,14651.9683952126
111,1,0.8,0.38,0.22,0.4,35419.1507359277,19541.4043469347
112,1,0.38,0.52,0.7,0.2,53924.0489180886,13205.8090373317
113,1.5,0.66,0.52,0.46,0.4,47396.4779571459,17720.6133584655
114,1.5,0.38,0.66,0.22,0.4,47438.4891238046,13916.2244790037
