Transmittance,shgc,window_u,roof_u,extWall_u,total_idealCooling,total_idealHeating
30,0.549183132,1.336044184,0.103773581,0.397127231,792.4671069,25656.17688
30,0.389220819,0.958596814,0.108886018,0.271732628,599.8465651,23969.98518
60,0.49715112,1.549829779,0.334187298,0.374865782,856.2796709,26416.31632
30,0.58092318,1.677296672,0.288944803,0.188719173,753.9991944,23589.43757
60,0.547461905,1.598738395,0.275982469,0.241222306,848.3079712,24087.98274
50,0.455476399,2.234189108,0.299115276,0.471873559,806.5817478,29117.95664
60,0.350724694,1.770437075,0.152987755,0.136246256,575.6976982,23480.2416
50,0.535650811,1.410009021,0.353586111,0.295282924,836.6312286,24947.87099
70,0.512356395,2.224948545,0.261857731,0.156523928,795.11532,23903.0981
40,0.743806918,1.463461785,0.382920136,0.31968098,1026.815567,24610.79129
80,0.641899195,1.918241519,0.129457705,0.203652982,989.0740195,22965.90409
40,0.372435222,1.933263171,0.133447687,0.449526241,677.3027285,28372.18558
70,0.604649299,1.368508245,0.177702392,0.30065784,968.2717727,23898.49865
40,0.549242719,1.09500207,0.382455855,0.223617235,800.1844383,23375.1028
40,0.547461905,1.598738395,0.275982469,0.241222306,780.5051649,24283.25306
70,0.789630122,2.384972764,0.125524544,0.366696583,1175.674119,25544.80568
80,0.469908758,2.120089674,0.228524568,0.471942873,898.6204296,28439.82598
40,0.511209095,2.06991024,0.18762182,0.350698797,771.4247951,26631.19401
20,0.719627296,1.252826623,0.345258363,0.438270715,953.7932745,26164.12851
30,0.479930171,1.380559607,0.182772067,0.31737457,705.0834438,25194.25995
50,0.421017264,0.815017269,0.341629119,0.403015883,772.8090494,25947.54039
50,0.676545505,2.237573769,0.360222166,0.461466344,1030.228293,28043.99682
80,0.428774581,2.253766064,0.097144785,0.159106173,704.2290178,23880.71963
40,0.770172184,1.373112673,0.349724095,0.23299055,1019.512901,22928.88369
40,0.386739076,0.824805932,0.378322013,0.307251389,673.937643,24975.76907
20,0.459823905,1.779311647,0.355875684,0.290209635,657.4234546,26240.88729
50,0.410843405,2.094723144,0.3380171,0.41225041,745.1860802,28440.8558
30,0.500454399,0.94785523,0.308691929,0.242876515,718.0651891,23518.2801
70,0.547085526,1.116858948,0.284180108,0.251580316,900.5793136,23300.1661
20,0.798241858,1.261565738,0.216934395,0.484879833,1029.073336,26110.39728
40,0.784765378,2.351766023,0.161499405,0.371299825,1037.890355,25987.82329
50,0.66976061,1.668055574,0.303305737,0.431446811,1018.395414,26564.34579
70,0.562154229,1.733245542,0.287096562,0.181304012,874.378052,23270.7439
80,0.36341265,0.999804445,0.188490412,0.282348299,709.3181764,24244.91662
50,0.442942951,1.187793091,0.19330547,0.495667136,807.5351298,27387.17817
20,0.430303926,1.13628702,0.197794321,0.348131535,646.4898664,25598.00334
30,0.68242554,1.414552232,0.108795664,0.172980022,832.3082948,21804.7363
70,0.467749429,2.047680383,0.173897003,0.494756321,876.298956,28533.13349
60,0.798134811,1.22725691,0.33631844,0.48043688,1236.944321,25890.88017
40,0.546283722,1.69737656,0.364669938,0.289946018,807.313598,25460.73457
70,0.382456347,1.992407385,0.271663697,0.189605593,668.668348,24826.05187
80,0.604756303,1.400387304,0.264932245,0.460939818,1074.931321,26452.83935
40,0.471748717,2.311896174,0.386022578,0.270737549,720.2715531,26655.17366
30,0.381385415,1.116760662,0.2928934,0.153912598,562.0271106,23079.21643
30,0.46034067,1.241608229,0.18819698,0.364315051,708.9084067,25735.54123
50,0.489665858,1.266992799,0.160674378,0.164731573,715.246569,22308.01127
80,0.760972464,2.36094994,0.371114776,0.299898117,1188.027716,25339.20488
20,0.413054144,1.436480406,0.101907516,0.224985875,565.2790612,24120.40617
20,0.703951495,1.670420951,0.300552869,0.416332586,915.6267129,26540.73269
20,0.471623834,1.36843514,0.247016256,0.223478636,633.6419059,24109.17232
40,0.46875984,0.761226624,0.149491937,0.166820799,677.4891847,21495.70066
70,0.799547063,1.047067207,0.181935265,0.182974427,1163.444303,20600.29975
40,0.391820166,2.283452533,0.212587689,0.259119149,622.5299885,26372.15044
60,0.463231531,0.789587485,0.324609632,0.362199715,830.6622485,24936.64854
70,0.608366254,1.260689196,0.239219854,0.437805245,1036.471834,25852.86582
80,0.694333205,0.793287316,0.33323363,0.209071089,1117.426852,21361.1527
70,0.409491751,2.035498003,0.252207583,0.411799285,788.5927053,27951.16654
70,0.724252401,1.610491008,0.178936549,0.490531219,1173.161825,26474.58022
70,0.66976061,1.668055574,0.303305737,0.431446811,1101.331455,26390.7378
70,0.369970198,1.679425116,0.270073361,0.349910815,726.2150145,26759.1977
60,0.505704994,1.860457154,0.318502351,0.281620765,820.2902932,25506.38056
60,0.374518968,0.972891512,0.142748438,0.166132776,622.7626633,22289.96279
60,0.64637577,0.844802521,0.302104731,0.238381836,982.0221195,22205.97492
80,0.503815866,0.919609649,0.111991595,0.280347987,877.4589785,22961.30286
20,0.541030432,1.807408043,0.132102035,0.337069592,718.0314286,25879.42007
20,0.706074297,1.912412295,0.126287582,0.415961282,891.5612228,26394.75714
50,0.579542845,0.784951239,0.330136545,0.157103716,841.9796713,21285.80721
50,0.768206834,0.957683307,0.311344059,0.308979822,1100.468945,23088.28124
20,0.719856964,2.366384158,0.136305639,0.189138124,807.8849564,23738.91891
20,0.73122414,1.367177019,0.110195701,0.221827984,853.5611636,22411.86004
20,0.656243724,2.030633614,0.128731237,0.306245114,802.4435029,25245.28895
80,0.432307716,1.743123364,0.235853149,0.482979329,866.7678624,28191.38963
80,0.37527998,2.06059407,0.204136555,0.476812637,788.9143154,28886.04759
70,0.468309356,2.262029254,0.107787249,0.406225257,831.1973326,27454.73154
30,0.750026071,1.088859694,0.203161853,0.171446755,923.1120004,21179.48665
30,0.403693131,1.764300109,0.392139432,0.17923994,597.7096145,24831.14891
50,0.563984796,2.282096517,0.289560907,0.317810303,850.2075195,26432.27675
40,0.655448707,2.257208781,0.136572856,0.355095583,902.5874354,26112.31852
40,0.443551992,0.884075659,0.207089314,0.173746316,657.8095558,22191.35673
20,0.654375561,1.584862777,0.29432741,0.490310693,899.6958712,27605.28603
80,0.793723616,1.184339925,0.386149831,0.266893861,1254.886746,22742.83363
80,0.790290564,0.936072086,0.116123965,0.338454043,1256.23221,22523.91147
80,0.502347702,1.205951693,0.258132468,0.22836724,863.122972,23201.8879
40,0.742369473,1.400444931,0.147268908,0.494014623,1066.540734,26255.35053
70,0.53907809,1.042902658,0.332576335,0.403926228,959.7255652,25586.82917
30,0.489174214,2.098380083,0.330119819,0.309501469,716.6796308,26730.52177
40,0.795555746,1.580873239,0.356084661,0.461857031,1127.356859,26538.51683
30,0.544423008,2.139817085,0.316052018,0.144179006,695.8054527,23938.12725
80,0.443551992,0.884075659,0.207089314,0.173746316,770.6681469,21865.75722
80,0.473035087,2.11667682,0.09857605,0.297876426,817.3447119,25537.66735
60,0.366676596,1.208852078,0.223759789,0.391165339,713.3722336,26455.92318
30,0.381370829,2.371312416,0.375605618,0.347828841,641.3155228,28432.2779
80,0.541273472,1.503622763,0.37469841,0.344151995,962.5444696,25632.05006
30,0.696320712,1.278765299,0.319422683,0.178912158,877.8083603,22256.47869
20,0.642521573,1.019223815,0.335887161,0.400416161,874.1607598,25501.16317
30,0.564851354,2.280646881,0.108390103,0.260041391,736.0709126,25210.49198
30,0.601275008,1.273260478,0.191567024,0.125183496,746.5415577,21415.38112
40,0.750512746,1.97726012,0.235375433,0.350561734,1013.708545,25475.03584
40,0.753662429,0.925179948,0.396238351,0.254596671,1033.226197,22616.2984
60,0.456998731,1.309189155,0.239991288,0.273526118,765.1355499,24428.00305
70,0.733968354,1.168902991,0.125572266,0.270189698,1107.75446,22292.64632
60,0.389220819,0.958596814,0.108886018,0.271732628,680.3699701,23710.31764
20,0.50913305,1.510703535,0.353810385,0.499672565,784.8660041,28448.17272
70,0.372435222,1.933263171,0.133447687,0.449526241,750.5836557,28152.50608
60,0.765215661,1.145402238,0.389005255,0.463136681,1202.351231,25792.87317
40,0.702867839,1.39265588,0.16865476,0.474793198,1021.969336,26221.75371
20,0.786919474,1.776261485,0.17630388,0.218669607,901.3946789,23071.48347
40,0.3841792,0.805179528,0.386686041,0.361344624,694.4190485,25762.10111
30,0.523808853,1.936095139,0.244422032,0.34985811,756.3933938,26611.41401
70,0.667220699,1.189440491,0.309303641,0.492649687,1135.314519,26404.34214
70,0.742369473,1.400444931,0.147268908,0.494014623,1197.63429,25972.00449
60,0.530056808,1.006112835,0.215281069,0.127396702,789.2838016,21052.39774
80,0.755510401,1.550139454,0.222502826,0.134535819,1123.50436,20990.71381
20,0.516243779,1.475189086,0.230696253,0.218844213,666.5079856,23956.84261
60,0.438798184,1.856655936,0.21049105,0.279779529,736.0810219,25515.57674
50,0.388065267,1.232628195,0.326767651,0.110489533,603.6267453,22475.82842
50,0.77950548,1.485638003,0.308194637,0.379033309,1120.251464,25032.45334
70,0.70577533,1.794424867,0.133674637,0.432292806,1119.919972,25926.38104
70,0.407774952,0.898055948,0.378511965,0.468220221,839.6943983,27052.083
50,0.537993404,2.333527119,0.168196797,0.222664281,769.5917959,24846.43298
50,0.635715116,2.045347613,0.275382071,0.446808257,977.1540668,27483.35496
80,0.66036172,2.133953484,0.202075823,0.229726683,1025.233585,23877.02114
70,0.453536155,1.084923229,0.113733784,0.442356376,849.8082406,25992.18572
80,0.794477396,2.260480718,0.233449039,0.450463064,1271.643039,26775.18029
30,0.37708997,1.915413985,0.203861872,0.188927785,555.9769641,24837.08436
50,0.438034855,1.507809871,0.215160107,0.105214344,637.0186659,22256.02743
50,0.694804133,1.208084312,0.368961466,0.4346215,1066.735896,25862.97408
30,0.670202503,1.885781346,0.284124345,0.498090999,954.9855244,27999.44926
30,0.350518247,1.460575514,0.32427094,0.215834773,559.2633772,24988.88608
30,0.460007477,1.380525601,0.096016018,0.474772427,738.5435377,27240.63867
20,0.506680752,1.691349585,0.228237239,0.376693103,717.9828251,26722.00479
60,0.35480665,1.897222071,0.156659145,0.402816882,691.9438864,27686.26153
60,0.72115751,1.261623126,0.367191256,0.326117391,1094.411924,24189.08938
60,0.752669346,2.236123257,0.176772154,0.139174802,1005.550189,22247.37761
70,0.487236005,1.430182495,0.318483013,0.48629785,921.459196,27683.32723
70,0.406642925,2.354238499,0.330302518,0.323487541,754.3919987,27463.17447
50,0.381370829,2.371312416,0.375605618,0.347828841,691.2327292,28257.35301
60,0.724161325,2.041330542,0.288214997,0.43170529,1108.12827,26800.85531
30,0.422174866,1.871855419,0.222946278,0.219971928,611.0151227,25046.26875
30,0.62001066,1.492787262,0.325090348,0.256063843,827.1943023,24221.11584
70,0.386956871,1.443283954,0.319343313,0.159922057,670.4961078,23513.61712
70,0.583158049,0.91367108,0.186932517,0.202809642,917.7395007,21649.48122
50,0.555974333,1.993982788,0.236360384,0.141401802,767.1609776,23126.92178
30,0.759406652,1.55261698,0.393532492,0.183689764,943.2298311,22774.76874
80,0.634116848,1.524178878,0.252337998,0.287536634,1038.555449,24001.38843
30,0.558566135,1.115607125,0.352346102,0.288576212,793.148437,24380.92321
60,0.567251366,1.083568742,0.314535138,0.159440009,853.7797356,21847.81715
60,0.546615764,1.442954161,0.347538753,0.119604901,807.8299844,22085.60464
20,0.583972983,1.532364203,0.112879509,0.172884939,692.6399118,22621.51405
60,0.632396963,2.053619251,0.275380797,0.313277543,960.4214903,25519.27123
20,0.587244924,1.448373805,0.342190445,0.355597119,796.8017571,25936.80727
60,0.724252401,1.610491008,0.178936549,0.490531219,1128.638412,26554.80103
20,0.61890295,1.861145359,0.121280672,0.20353119,730.5603698,23547.94012
50,0.547403469,1.887212492,0.314258127,0.410847327,880.5498393,27275.85087
30,0.566056358,0.773210457,0.174792664,0.389517438,828.2480354,24603.31563
80,0.366438423,1.93203809,0.394096093,0.264510015,714.9548631,26270.34182
20,0.734570547,1.625701273,0.301333034,0.334278273,914.2515053,25162.74329
50,0.42537432,0.863715091,0.264366106,0.426005864,776.8484546,26117.89745
40,0.562288271,0.883339376,0.201333968,0.269205325,818.0763083,23046.45563
80,0.752250346,2.234669853,0.33343452,0.336070513,1190.328835,25602.64111
70,0.547403469,1.887212492,0.314258127,0.410847327,950.7371644,27112.23019
