Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,,total_idealHeating(per m2),total_idealCooling (per m2)
baseline,1.3396,0.275,0.1587,0.2073,,18079.993803,1540.439125,3313.518198,,95.6411013700804,8.1487469583157
1,1.38,0.1,0.1,0.5,0.8,22758.52471,1184.054536,631.567199,,120.389995292002,6.2635132035548
2,0.84,0.23,0.475,0.34,0.8,21495.37046,1680.264466,2092.72159,,113.708053639441,8.88840703554803
3,0.3,0.62,0.225,0.34,0.2,17335.53814,2293.202425,6220.89462,,91.7030159754549,12.1307788034278
4,1.38,0.36,0.35,0.18,0.4,20178.01309,1702.670617,3228.942246,,106.739383675413,9.00693301417689
5,1.38,0.1,0.35,0.5,0.4,24379.5348,1228.852927,497.8088828,,128.964953449006,6.50049157321202
6,0.84,0.23,0.6,0.5,0.8,23477.71504,1765.474212,2092.72159,,124.194429961913,9.33915685569192
7,0.3,0.49,0.225,0.5,0.4,18962.2322,2192.203807,5261.525804,,100.3080416843,11.5965076544647
8,1.38,0.49,0.1,0.5,0.6,20520.24491,2170.072688,5854.827032,,108.549750899281,11.4794365636902
9,1.38,0.23,0.35,0.1,0.2,20235.78461,1286.540597,1462.967073,,107.04498841515,6.80565275603047
10,1.92,0.62,0.475,0.42,0.6,22682.71189,2550.081706,7776.619042,,119.988954136691,13.4896408484977
11,1.92,0.62,0.475,0.34,0.2,22506.84649,2186.440899,6218.302699,,119.058646265341,11.5660225296234
12,0.3,0.62,0.6,0.18,0.8,17425.36346,2903.16832,8566.144897,,92.1781816546763,15.3574286923402
13,1.92,0.62,0.6,0.5,0.6,23988.55106,2595.404306,7776.619042,,126.896694138807,13.729392223868
14,1.38,0.1,0.6,0.1,0.2,22369.31027,1141.474623,430.9297248,,118.33109537664,6.03827032903089
15,1.92,0.23,0.1,0.42,0.6,22387.62677,1444.448745,2009.625859,,118.427987568769,7.64096881612357
16,0.84,0.36,0.225,0.42,0.4,20279.25491,1767.077514,3229.919707,,107.274941335167,9.34763814007618
17,0.84,0.1,0.225,0.42,0.2,21791.40857,1131.228894,430.851903,,115.274061415573,5.98407159331359
18,2.46,0.36,0.35,0.1,0.6,21404.23982,1750.516602,3791.760555,,113.225982966568,9.26003280787135
19,2.46,0.75,0.225,0.18,0.8,19381.57832,2867.68174,10698.44973,,102.52633474397,15.1697087388912
20,1.92,0.36,0.35,0.42,0.4,23368.56362,1748.425171,3394.104642,,123.617031421921,9.24896937685146
21,2.46,0.36,0.1,0.1,0.6,19816.05129,1656.375402,3791.760555,,104.824647111722,8.76203661658908
22,3,0.1,0.1,0.5,0.6,25983.69968,1144.38507,602.2866672,,137.450802369869,6.05366626110876
23,1.92,0.36,0.475,0.26,0.2,22905.77194,1626.768772,2994.569285,,121.168916314008,8.60542092678798
24,1.92,0.1,0.35,0.5,0.2,25578.90374,1194.462358,463.0824668,,135.309478099873,6.31856939272112
25,0.84,0.62,0.35,0.26,0.2,18757.68026,2250.426903,6220.110539,,99.2259852941177,11.9045011796445
26,0.84,0.36,0.1,0.1,0.6,16347.67118,1768.489932,3618.244259,,86.4773126322472,9.35510966991113
27,1.38,0.1,0.1,0.42,0.8,22113.49916,1156.341976,631.567199,,116.977883834109,6.11691692763436
28,3,0.36,0.35,0.1,0.2,22754.48384,1492.180628,2993.230601,,120.368619551418,7.8934650232755
29,2.46,0.75,0.6,0.34,0.6,23168.90498,2820.202434,9733.971976,,122.560860029623,14.9185486352095
30,2.46,0.36,0.6,0.18,0.8,23414.08273,1952.806489,4190.66943,,123.857822312738,10.330123196149
31,2.46,0.62,0.225,0.5,0.8,22671.86317,2577.99336,8551.60683,,119.931565647482,13.6372903089293
32,0.3,0.49,0.1,0.42,0.2,17691.97586,1952.707623,4664.087531,,93.588530787135,10.3296002063055
33,0.84,0.1,0.475,0.1,0.8,20218.62341,1203.96309,631.2559117,,106.954207628015,6.36882717943292
34,1.92,0.1,0.1,0.26,0.4,22025.78978,1043.070712,532.588153,,116.513911235717,5.51772488362251
35,1.92,0.62,0.225,0.26,0.6,19837.96322,2456.631989,7776.619042,,104.940558717732,12.9953025232755
36,0.84,0.1,0.475,0.26,0.2,21875.53939,1168.074378,430.851903,,115.719103840457,6.17897999365214
37,1.92,0.62,0.6,0.42,0.6,23353.37995,2585.713428,7776.619042,,123.536711542531,13.6781285865425
