Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,
1,1.38,0.1,0.1,0.5,0.8,22758.52471,1184.054536,631.567199,
2,0.84,0.23,0.475,0.34,0.8,21495.37046,1680.264466,2092.72159,
3,0.3,0.62,0.225,0.34,0.2,17335.53814,2293.202425,6220.89462,
4,1.38,0.36,0.35,0.18,0.4,20178.01309,1702.670617,3228.942246,
5,1.38,0.1,0.35,0.5,0.4,24379.5348,1228.852927,497.8088828,
6,0.84,0.23,0.6,0.5,0.8,23477.71504,1765.474212,2092.72159,
7,0.3,0.49,0.225,0.5,0.4,18962.2322,2192.203807,5261.525804,
8,1.38,0.49,0.1,0.5,0.6,20520.24491,2170.072688,5854.827032,
9,1.38,0.23,0.35,0.1,0.2,20235.78461,1286.540597,1462.967073,
10,1.92,0.62,0.475,0.42,0.6,22682.71189,2550.081706,7776.619042,
11,1.92,0.62,0.475,0.34,0.2,22506.84649,2186.440899,6218.302699,
12,0.3,0.62,0.6,0.18,0.8,17425.36346,2903.16832,8566.144897,
13,1.92,0.62,0.6,0.5,0.6,23988.55106,2595.404306,7776.619042,
14,1.38,0.1,0.6,0.1,0.2,22369.31027,1141.474623,430.9297248,
15,1.92,0.23,0.1,0.42,0.6,22387.62677,1444.448745,2009.625859,
16,0.84,0.36,0.225,0.42,0.4,20279.25491,1767.077514,3229.919707,
17,0.84,0.1,0.225,0.42,0.2,21791.40857,1131.228894,430.851903,
18,2.46,0.36,0.35,0.1,0.6,21404.23982,1750.516602,3791.760555,
19,2.46,0.75,0.225,0.18,0.8,19381.57832,2867.68174,10698.44973,
20,1.92,0.36,0.35,0.42,0.4,23368.56362,1748.425171,3394.104642,
21,2.46,0.36,0.1,0.1,0.6,19816.05129,1656.375402,3791.760555,
22,3,0.1,0.1,0.5,0.6,25983.69968,1144.38507,602.2866672,
23,1.92,0.36,0.475,0.26,0.2,22905.77194,1626.768772,2994.569285,
24,1.92,0.1,0.35,0.5,0.2,25578.90374,1194.462358,463.0824668,
25,0.84,0.62,0.35,0.26,0.2,18757.68026,2250.426903,6220.110539,
26,0.84,0.36,0.1,0.1,0.6,16347.67118,1768.489932,3618.244259,
27,1.38,0.1,0.1,0.42,0.8,22113.49916,1156.341976,631.567199,
28,3,0.36,0.35,0.1,0.2,22754.48384,1492.180628,2993.230601,
29,2.46,0.75,0.6,0.34,0.6,23168.90498,2820.202434,9733.971976,
30,2.46,0.36,0.6,0.18,0.8,23414.08273,1952.806489,4190.66943,
31,2.46,0.62,0.225,0.5,0.8,22671.86317,2577.99336,8551.60683,
32,0.3,0.49,0.1,0.42,0.2,17691.97586,1952.707623,4664.087531,
33,0.84,0.1,0.475,0.1,0.8,20218.62341,1203.96309,631.2559117,
34,1.92,0.1,0.1,0.26,0.4,22025.78978,1043.070712,532.588153,
35,1.92,0.62,0.225,0.26,0.6,19837.96322,2456.631989,7776.619042,
36,0.84,0.1,0.475,0.26,0.2,21875.53939,1168.074378,430.851903,
37,1.92,0.62,0.6,0.42,0.6,23353.37995,2585.713428,7776.619042,
38,1.38,0.75,0.6,0.42,0.2,22270.44649,2547.272044,7806.95799,
39,0.84,0.1,0.35,0.18,0.6,20316.60351,1158.082545,564.4545755,
40,3,0.1,0.475,0.18,0.2,25658.65806,1124.829513,463.1467429,
41,1.38,0.49,0.225,0.34,0.2,20437.83644,1863.934866,4662.708516,
42,1.92,0.36,0.1,0.18,0.2,19905.19751,1457.769244,2994.569285,
43,3,0.36,0.225,0.42,0.6,24418.15295,1771.638125,3789.623947,
44,0.3,0.75,0.475,0.34,0.6,17881.81284,3007.499077,9744.675557,
45,1.38,0.36,0.6,0.5,0.4,24284.72197,1874.333181,3228.942246,
46,2.46,0.49,0.475,0.5,0.6,24900.80489,2219.713455,5607.957088,
47,0.3,0.62,0.225,0.5,0.2,18685.95798,2312.297966,6220.89462,
48,1.92,0.62,0.35,0.1,0.6,19127.80707,2477.957461,7776.619042,
49,1.92,0.23,0.1,0.42,0.2,22663.3554,1295.115997,1573.189732,
50,2.46,0.75,0.225,0.26,0.6,20322.52833,2711.352202,9733.971976,
51,3,0.23,0.475,0.34,0.4,26088.47268,1465.582712,1790.035734,
52,0.3,0.75,0.475,0.1,0.2,16185.2315,2624.440789,7808.584331,
53,0.84,0.1,0.475,0.26,0.6,21751.85383,1235.315314,564.4545755,
54,1.38,0.62,0.475,0.34,0.4,21151.44453,2425.528123,6999.354063,
55,3,0.1,0.6,0.18,0.6,26195.15708,1209.786617,602.2866672,
56,1.92,0.49,0.6,0.26,0.2,23002.93811,1941.995686,4453.853084,
57,0.3,0.49,0.225,0.5,0.8,18575.08128,2482.89465,6456.402351,
58,2.46,0.23,0.1,0.5,0.4,24210.05786,1384.699022,1790.789256,
59,2.46,0.23,0.225,0.34,0.4,23700.11387,1381.983848,1790.789256,
60,1.92,0.62,0.6,0.34,0.2,23176.02565,2225.516844,6218.302699,
61,1.38,0.1,0.6,0.1,0.2,22369.31027,1141.474623,430.9297248,
62,0.3,0.49,0.475,0.34,0.6,18913.63761,2409.050194,5858.964078,
63,1.92,0.62,0.6,0.26,0.6,22006.30413,2567.38736,7776.619042,
64,0.84,0.23,0.475,0.34,0.4,21725.25114,1521.522498,1673.021498,
65,1.38,0.62,0.35,0.18,0.2,19255.03112,2170.569321,6219.249295,
66,0.84,0.1,0.35,0.1,0.4,19619.30958,1092.289246,497.6532392,
67,0.84,0.62,0.1,0.34,0.4,17615.09297,2371.734717,7001.076551,
68,1.38,0.1,0.1,0.34,0.2,21613.02511,1046.202918,430.9297248,
69,3,0.1,0.6,0.26,0.2,26994.21275,1196.232982,463.1467429,
70,0.84,0.75,0.225,0.1,0.8,15265.27367,3049.639599,10709.6115,
71,1.38,0.75,0.475,0.34,0.6,20400.47329,2884.107628,9739.796535,
72,0.84,0.1,0.1,0.1,0.8,17910.93356,1054.925235,631.2559117,
73,1.38,0.1,0.1,0.1,0.4,19359.47663,983.1140663,497.8088828,
74,1.92,0.49,0.6,0.26,0.8,22413.86437,2370.859134,6189.021128,
75,1.92,0.49,0.225,0.34,0.2,21560.8662,1827.163054,4453.853084,
