Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling
1,0.3,0.66,0.54,1.06,0.6,182965.2571,178230.2469
2,2.8,0.8,1.2,1.06,0.2,264121.0215,159314.5915
3,1.3,0.38,0.76,1.7,0.6,286485.0784,161943.8291
4,0.3,0.24,0.76,0.74,0.6,192926.0887,125052.125
5,0.8,0.1,0.32,0.1,0.4,143356.3114,84643.39302
6,0.8,0.66,0.54,0.74,0.4,175547.6159,154874.0215
7,1.8,0.8,1.2,1.7,0.4,281632.5913,189065.0908
8,0.3,0.24,0.76,1.06,0.4,227198.138,126740.551
9,2.3,0.38,0.32,0.42,0.8,182294.6999,138760.4089
10,2.3,0.8,0.54,0.1,0.4,129301.0272,150556.6195
11,2.3,0.24,1.2,0.42,0.2,227431.6023,108586.9507
12,1.3,0.38,0.1,1.38,0.8,244680.5097,159603.8245
13,2.8,0.1,0.32,1.7,0.8,339428.4864,131373.6228
14,2.8,0.38,0.32,1.38,0.4,293575.1023,145630.9701
15,0.3,0.66,0.1,1.06,0.6,173307.6376,175616.4537
16,1.8,0.1,0.54,0.1,0.2,176992.9592,84595.76113
17,1.3,0.8,0.1,0.1,0.4,97406.01291,149019.2789
18,0.3,0.24,1.2,0.42,0.8,162334.6207,125168.3759
19,2.8,0.24,0.76,0.1,0.4,186404.4622,102690.2538
20,0.8,0.24,0.54,0.74,0.8,199548.3076,129346.6808
21,1.3,0.66,1.2,1.06,0.2,239348.0747,150222.2844
22,0.8,0.38,1.2,1.06,0.4,237590.3446,141436.0092
23,0.3,0.52,1.2,0.1,0.2,117943.2044,117259.6215
24,1.8,0.38,0.1,0.42,0.6,170894.4701,129108.7759
25,2.3,0.1,0.76,1.7,0.2,341831.7288,128959.3412
26,0.3,0.24,0.54,0.42,0.8,150470.3541,121536.7194
27,1.3,0.38,1.2,0.74,0.8,209596.1584,151507.5711
28,2.3,0.1,0.54,0.74,0.4,258970.6864,106551.1456
29,1.8,0.1,0.32,1.7,0.2,322514.5636,125565.7289
30,0.3,0.38,0.76,1.38,0.2,248539.2575,136848.1259
31,0.3,0.52,0.98,1.38,0.6,227771.3779,171953.407
32,0.8,0.52,1.2,1.7,0.2,284098.3094,154890.9037
33,2.8,0.1,0.54,1.7,0.8,343719.4588,132728.5544
34,0.8,0.38,1.2,1.7,0.4,286906.2213,155106.1367
35,0.8,0.1,0.32,0.1,0.2,145646.6821,82114.5246
36,2.8,0.38,0.1,0.1,0.6,152772.9382,120283.5025
37,0.3,0.38,0.54,1.38,0.8,226369.4618,163220.0939
38,1.3,0.66,0.54,1.7,0.8,252030.7351,203791.7301
39,0.3,0.8,1.2,0.1,0.6,87408.78429,177365.4343
40,0.3,0.52,0.1,1.38,0.4,217600.2341,154296.1057
41,1.8,0.66,0.1,0.42,0.4,156649.8185,144071.1722
42,1.3,0.8,1.2,1.38,0.4,246775.3372,183219.113
43,2.3,0.66,0.54,1.7,0.2,299864.3564,160784.1809
44,2.3,0.1,0.98,1.7,0.2,345473.5261,130144.6242
45,1.3,0.1,1.2,1.38,0.2,303256.0244,122731.6489
46,0.3,0.52,1.2,1.7,0.6,254726.4988,179103.4433
47,1.3,0.1,0.76,1.38,0.6,292409.3913,124528.7747
48,0.3,0.1,1.2,0.1,0.6,142199.7861,92415.87616
49,0.3,0.1,1.2,0.42,0.8,179846.7977,104361.8442
50,1.8,0.66,0.54,0.1,0.4,127328.7717,138552.3623
51,0.8,0.24,0.54,0.42,0.8,165460.1908,120955.381
52,1.8,0.24,0.76,0.1,0.8,155911.3848,113064.3758
53,1.3,0.66,0.98,1.7,0.2,285068.2709,162463.643
54,1.3,0.1,0.1,0.1,0.4,152416.1695,83416.12074
55,1.8,0.52,0.98,1.7,0.6,289508.6316,177869.3943
56,2.8,0.52,0.76,1.06,0.6,257140.3562,163873.1961
57,2.8,0.38,0.76,0.74,0.8,235490.2936,149531.3844
58,1.8,0.8,0.1,0.74,0.2,192414.0856,145347.2233
59,0.8,0.8,0.54,1.06,0.8,179574.1679,210802.9721
60,0.3,0.66,0.98,1.38,0.8,210055.0236,202242.779
61,2.3,0.66,0.54,1.06,0.2,250771.5391,147284.3359
62,0.3,0.66,0.1,0.1,0.8,67196.87016,171980.3793
63,1.3,0.8,0.32,0.42,0.8,125298.1901,195888.3189
64,0.3,0.38,0.76,1.38,0.2,248539.2575,136848.1259
65,1.8,0.66,0.76,1.38,0.2,269942.4692,155196.3064
66,2.3,0.24,1.2,1.38,0.8,303290.6976,148502.3243
67,2.3,0.8,0.1,1.06,0.2,233126.5069,152897.6694
68,0.3,0.24,0.1,1.38,0.2,244526.3024,123982.147
69,1.3,0.8,1.2,0.74,0.4,191114.6333,169905.1385
70,0.8,0.52,0.76,1.06,0.6,211710.3456,163910.1515
71,0.8,0.66,0.32,1.38,0.6,218599.8,182705.4895
72,0.8,0.66,0.1,1.38,0.2,231626.0785,150703.5726
73,0.8,0.38,0.1,0.1,0.6,106544.6953,120326.7256
74,1.3,0.8,1.2,1.06,0.2,231309.0161,158756.7361
75,2.8,0.8,0.98,1.06,0.4,249562.4721,175395.1552
76,1.3,0.38,0.32,1.38,0.6,254644.4626,152901.4452
77,1.3,0.52,1.2,1.7,0.6,281444.5843,178762.1234
78,0.8,0.24,0.54,1.06,0.8,229373.8336,137159.0188
79,2.8,0.24,1.2,0.1,0.2,199079.0392,99369.76457
80,1.3,0.66,0.32,0.74,0.8,168227.9794,184101.8405
81,2.3,0.52,0.1,0.42,0.4,177777.1217,132080.7817
82,0.8,0.52,1.2,1.06,0.6,219127.4053,166134.802
83,1.3,0.52,1.2,1.38,0.6,258145.3194,172580.6995
84,0.8,0.8,0.32,0.42,0.4,128573.4958,158542.374
85,0.8,0.1,0.1,1.7,0.4,290613.7167,124878.2149
86,0.8,0.66,1.2,0.1,0.6,107746.589,159869.9682
87,0.3,0.24,0.98,1.7,0.2,284840.4054,136117.6756
88,0.3,0.66,0.76,0.42,0.6,124545.2755,165929.9329
89,0.3,0.52,0.54,1.7,0.6,243281.7409,175700.9162
90,0.3,0.24,0.76,1.38,0.6,249025.6704,140111.0292
91,2.8,0.38,0.98,1.7,0.6,322202.5595,164339.5044
92,2.3,0.66,0.1,0.42,0.4,167639.3329,143971.5688
93,1.3,0.38,0.76,1.06,0.2,250077.4147,130465.5955
94,2.8,0.66,0.32,0.42,0.4,182927.9148,145373.6759
95,0.8,0.8,1.2,0.74,0.6,169614.1957,189390.5778
96,0.8,0.38,1.2,1.06,0.8,226067.761,159326.1979
97,2.3,0.66,0.76,0.42,0.2,191639.3471,132727.3107
98,1.8,0.8,0.76,1.06,0.2,235757.3703,156645.492
99,2.8,0.1,1.2,1.38,0.8,332149.9576,129322.5872
100,2.8,0.66,0.32,0.1,0.8,128387.2219,167396.8329
101,2.3,0.66,0.98,0.1,0.6,137832.9315,156625.9975
102,1.8,0.1,0.98,0.74,0.4,255388.0593,108487.7158
103,0.3,0.52,0.54,0.1,0.8,85961.20794,154505.6044
104,2.3,0.1,1.2,1.38,0.4,324521.6305,126194.9633
105,2.3,0.1,0.54,0.42,0.8,222393.4647,100378.4619
106,2.3,0.52,0.98,0.42,0.6,187422.8244,149678.0199
107,0.8,0.66,0.54,0.1,0.6,95644.49306,156456.2959
108,1.8,0.38,0.54,0.1,0.2,154943.8518,104021.871
109,2.8,0.8,0.98,0.42,0.6,176592.1797,178968.1506
110,0.3,0.66,0.98,0.1,0.2,106568.2053,125984.8323
111,2.3,0.1,0.54,0.1,0.8,183240.5668,90372.50078
112,1.3,0.66,0.76,1.06,0.6,213705.6488,178384.7029
113,1.8,0.1,0.1,0.1,0.8,161545.7808,87459.26704
114,2.8,0.8,0.32,0.74,0.2,218690.9139,147077.4515
115,2.3,0.52,1.2,0.42,0.8,185161.3088,162064.673
116,0.8,0.66,0.54,0.1,0.8,89811.01655,172695.4519
117,0.3,0.24,0.98,1.38,0.4,257181.7134,135263.8256
118,0.3,0.1,0.76,1.7,0.8,285309.9366,133253.3905
119,1.3,0.8,0.54,0.74,0.2,190113.2059,148010.3347
120,1.3,0.24,0.1,0.1,0.4,138171.9094,97106.21144
121,1.8,0.66,0.54,0.74,0.6,191448.9448,169915.8368
122,1.8,0.66,0.76,1.38,0.6,251549.7791,184521.4878
123,0.3,0.24,0.32,1.7,0.8,259843.4796,149871.5637
124,1.3,0.8,0.76,1.38,0.6,230051.7163,199028.6303
125,2.8,0.38,0.76,0.74,0.6,239966.1182,141834.5821
126,0.3,0.52,0.1,0.74,0.4,161195.4092,140158.3441
127,0.3,0.24,0.76,1.38,0.4,253393.1573,134070.4953
128,2.3,0.66,0.98,1.38,0.2,284595.855,156700.6906
129,2.8,0.24,0.32,0.1,0.6,172396.1674,105597.7451
130,2.3,0.8,0.1,1.06,0.6,212294.0393,188234.8604
131,2.3,0.38,0.54,0.74,0.6,225616.6794,140310.5887
132,0.3,0.8,0.98,1.7,0.4,240046.2664,188687.6104
133,0.3,0.8,1.2,0.1,0.8,82002.49341,197411.3181
134,1.8,0.38,1.2,1.06,0.6,255731.2465,151329.1588
135,1.8,0.8,0.1,0.74,0.2,192414.0856,145347.2233
136,0.8,0.52,0.98,0.1,0.8,107745.4196,155371.8007
137,1.8,0.24,0.98,0.74,0.2,246097.2379,115743.2891
138,2.8,0.52,0.76,1.7,0.8,300793.8661,187231.6201
139,1.3,0.8,0.32,0.1,0.4,102631.1565,150353.6331
140,0.8,0.8,1.2,0.42,0.8,130008.6749,201809.5754
141,0.8,0.8,0.98,0.1,0.2,113253.1997,135097.54
142,0.3,0.38,0.32,0.74,0.8,165450.2679,147907.4454
143,2.3,0.8,0.54,1.06,0.8,214142.9262,207950.8967
144,0.8,0.52,0.54,0.42,0.4,151310.2328,134850.5931
145,1.8,0.1,1.2,1.38,0.2,315250.8464,123514.5362
146,1.3,0.8,0.98,0.42,0.4,154000.7954,161564.3261
147,0.8,0.38,1.2,0.74,0.2,214684.9321,124454.7529
148,1.8,0.38,0.32,0.1,0.2,150289.3939,102630.6448
149,2.3,0.8,0.1,1.38,0.4,248358.1727,177003.0818
150,0.8,0.8,0.98,0.42,0.2,151762.3875,142913.6383
151,0.3,0.38,0.76,1.38,0.4,242039.8225,146073.9977
152,0.8,0.52,1.2,0.74,0.4,196959.0491,146250.0395
153,2.8,0.38,0.32,1.7,0.6,310112.4692,160651.3636
