Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad
baseline,2.42,0.27,0.31,0.33,,85938.697968,20173.346493,30969.921732
v1,0.78,0.7,0.2,0.7,0.4,78185.30093,23485.27799,76018.68246
v2,2.22,0.22,0.4,0.46,0.8,106103.3015,18277.50776,21394.96737
v3,0.3,0.34,0.1,0.46,0.2,79751.382,20142.25212,23717.88606
v4,1.26,0.22,0.4,0.1,0.6,91826.19093,18743.3235,17686.57546
v5,0.78,0.7,0.5,0.58,0.2,82543.11301,22782.46462,64667.69467
v6,1.74,0.34,0.2,0.58,0.2,98658.74215,18668.06616,25168.39412
v7,2.7,0.1,0.1,0.22,0.4,109021.6606,13918.18657,5208.978514
v8,1.26,0.7,0.4,0.22,0.8,76666.4576,24123.1861,98668.95962
v9,0.3,0.7,0.1,0.34,0.4,66216.90339,24112.6111,76042.53168
v10,1.26,0.58,0.1,0.46,0.2,83557.14505,21743.55781,51663.95991
v11,2.7,0.7,0.1,0.46,0.6,90414.29294,22863.10417,87193.64966
v12,2.7,0.58,0.6,0.46,0.6,100794.4327,21856.14428,69972.57456
v13,0.3,0.58,0.1,0.58,0.2,74379.04418,22624.58027,51687.45538
v14,2.22,0.1,0.2,0.46,0.4,109610.4236,14482.12343,5207.994614
v15,1.74,0.7,0.5,0.1,0.8,80791.46864,23848.89345,98612.92166
v16,1.26,0.58,0.3,0.34,0.8,80628.38849,23417.88432,79323.96246
v17,2.7,0.34,0.6,0.58,0.6,110382.8615,19435.20641,34798.20303
v18,2.7,0.22,0.2,0.34,0.4,107242.315,16836.3713,16017.59584
v19,2.7,0.7,0.6,0.1,0.6,91820.19692,22871.68747,87193.64966
v20,1.26,0.22,0.5,0.34,0.6,96866.20364,18724.00576,17686.57546
v21,1.74,0.7,0.3,0.1,0.4,80836.83397,23087.25949,75964.81427
v22,1.26,0.58,0.1,0.1,0.4,76437.4215,22751.96827,60883.96076
v23,2.22,0.46,0.4,0.34,0.8,95265.17561,21667.64148,57973.01691
v24,2.7,0.1,0.6,0.34,0.8,116881.3857,14938.54255,7085.282183
v25,0.3,0.46,0.4,0.22,0.2,76906.39238,21730.34093,38903.6233
v26,2.7,0.1,0.2,0.1,0.4,108570.1771,13929.48456,5208.978514
v27,2.22,0.58,0.1,0.34,0.4,89510.11717,21797.13689,60828.18092
v28,2.7,0.46,0.6,0.7,0.2,110466.1303,19389.08408,37200.85791
v29,2.7,0.58,0.2,0.22,0.2,95041.0508,20679.23378,51620.16423
v30,0.3,0.34,0.2,0.58,0.4,81756.14264,20932.90825,28435.29299
v31,2.7,0.58,0.2,0.22,0.4,93375.39373,21486.33874,60796.36939
v32,1.74,0.58,0.3,0.46,0.6,88275.89252,22606.46122,70063.94343
v33,0.3,0.34,0.2,0.34,0.8,76380.94571,22201.1839,37870.10687
v34,1.26,0.1,0.6,0.34,0.6,103233.6559,15785.95421,5813.199007
v35,2.22,0.34,0.5,0.7,0.8,105751.8128,20120.2051,39658.84068
v36,0.3,0.46,0.6,0.7,0.6,83632.61878,22660.72207,53151.53992
v37,2.7,0.58,0.4,0.34,0.8,95459.6737,22381.96595,79148.77973
v38,2.7,0.22,0.2,0.58,0.8,109286.2082,17850.35462,21375.87888
v39,1.74,0.22,0.2,0.34,0.4,98402.95039,17556.8789,16035.05358
v40,0.3,0.58,0.3,0.34,0.8,69942.51294,24181.31393,79417.94435
v41,2.7,0.22,0.5,0.1,0.8,106276.8508,17975.58804,21375.87888
v42,0.78,0.22,0.3,0.34,0.6,88865.65908,19192.88308,17694.54463
v43,1.26,0.22,0.3,0.22,0.2,94059.20559,17182.44486,12475.25884
v44,0.3,0.7,0.3,0.46,0.2,72677.82048,23338.0634,64679.61928
v45,0.3,0.34,0.6,0.1,0.8,78122.44769,22238.39506,37870.10687
v46,1.74,0.1,0.3,0.34,0.6,104314.2273,15159.97036,6143.311322
v47,0.78,0.58,0.5,0.34,0.8,78211.18357,23699.36653,79372.95191
v48,0.3,0.34,0.2,0.46,0.8,78128.20133,22125.45252,37870.10687
v49,0.78,0.1,0.2,0.7,0.2,98234.32,15220.13966,3993.71646
v50,2.7,0.7,0.3,0.46,0.8,92097.04487,23146.09223,98485.96391
v51,0.78,0.22,0.6,0.58,0.8,95526.29158,19615.97255,20302.85932
v52,2.7,0.58,0.6,0.34,0.4,100505.4413,21334.13001,60796.36939
v53,2.7,0.22,0.5,0.34,0.6,110401.6014,17601.25758,18696.73736
v54,2.7,0.46,0.1,0.7,0.4,102334.3475,20142.84734,44107.23154
v55,1.74,0.7,0.6,0.58,0.4,91855.21817,22677.83326,75964.81427
v56,1.74,0.22,0.3,0.58,0.4,103139.4816,17625.48315,16035.05358
v57,0.3,0.58,0.3,0.34,0.8,69942.51294,24181.31393,79417.94435
v58,1.26,0.1,0.2,0.1,0.4,94601.68874,14850.17389,4904.055434
v59,0.78,0.22,0.5,0.7,0.8,95814.87721,19575.40244,20302.85932
v60,1.26,0.58,0.4,0.58,0.8,85360.26464,23231.24977,79323.96246
v61,1.74,0.46,0.4,0.58,0.8,94087.90808,21916.79829,58021.13167
v62,0.78,0.1,0.3,0.58,0.6,97284.69983,16161.79158,5809.612806
v63,2.7,0.22,0.2,0.7,0.4,112069.0515,16894.9107,16017.59584
v64,1.26,0.34,0.1,0.7,0.8,90966.963,20918.19402,37820.67863
v65,1.26,0.1,0.4,0.46,0.8,102124.3458,16010.26222,6722.342581
v66,2.7,0.1,0.2,0.34,0.8,111741.6741,14623.30424,7085.282183
v67,0.3,0.58,0.3,0.1,0.2,70271.62791,22836.09266,51687.45538
v68,0.78,0.1,0.2,0.46,0.8,93899.24116,16388.6986,6717.56098
v69,1.74,0.46,0.3,0.34,0.4,91614.53071,21009.36825,44157.80798
v70,1.26,0.58,0.1,0.1,0.6,75031.34072,23302.78275,70103.96161
v71,2.7,0.1,0.4,0.34,0.2,115282.1517,13984.84695,4270.826679
v72,2.7,0.7,0.4,0.7,0.8,96612.26811,22977.45466,98485.96391
v73,0.78,0.22,0.2,0.7,0.4,93165.3561,18454.61124,15086.22993
v74,0.78,0.34,0.2,0.1,0.2,81541.60797,19676.21792,23712.05912
v75,2.7,0.58,0.3,0.7,0.4,101470.9715,21223.46827,60796.36939
v76,2.22,0.7,0.2,0.58,0.6,89375.49055,23036.14098,87243.25331
v77,0.3,0.7,0.6,0.46,0.4,75017.41007,23792.23429,76042.53168
v78,2.7,0.34,0.5,0.1,0.4,103252.8288,18908.26993,29974.56331
v79,2.7,0.46,0.1,0.58,0.2,102250.4812,19355.39865,37200.85791
v80,2.7,0.22,0.2,0.34,0.2,108107.5594,16099.25657,13338.45433
v81,0.3,0.58,0.2,0.22,0.8,66658.26016,24309.36897,79417.94435
v82,2.7,0.34,0.3,0.1,0.6,99508.92139,19559.6879,34798.20303
v83,1.74,0.34,0.5,0.58,0.8,99672.60917,20544.97087,39691.72485
v84,2.22,0.58,0.2,0.7,0.6,94491.89102,22172.23745,70020.29186
v85,0.3,0.46,0.5,0.34,0.2,80076.80527,21641.79202,38903.6233
v86,2.7,0.46,0.5,0.22,0.6,99899.469,20934.03949,51013.60517
v87,0.78,0.34,0.5,0.1,0.6,83462.58575,21216.66561,33135.21911
v88,2.7,0.7,0.1,0.7,0.4,95118.69609,22183.93083,75901.3354
v89,1.74,0.34,0.1,0.46,0.8,92480.29345,20633.55798,39691.72485
v90,1.74,0.46,0.2,0.22,0.4,88362.84469,21085.95582,44157.80798
v91,1.26,0.58,0.6,0.22,0.4,85363.84872,22468.75256,60883.96076
v92,2.7,0.1,0.5,0.7,0.2,121277.0214,14321.15171,4270.826679
v93,0.78,0.7,0.1,0.58,0.8,72409.43722,24369.28652,98720.65804
v94,2.7,0.22,0.2,0.46,0.4,108938.6988,16857.48508,16017.59584
v95,0.3,0.22,0.2,0.46,0.6,83347.96772,19730.76786,17700.96718
v96,2.7,0.22,0.4,0.46,0.2,112489.0714,16269.84122,13338.45433
v97,1.74,0.34,0.5,0.7,0.8,101214.4606,20500.32736,39691.72485
v98,2.7,0.46,0.6,0.1,0.2,101991.3271,19554.4256,37200.85791
v99,0.3,0.1,0.1,0.7,0.4,90460.40959,16097.43393,4898.997613
v100,0.3,0.22,0.4,0.34,0.4,85268.8319,19165.12416,15090.51163
v101,1.74,0.34,0.2,0.22,0.4,92310.63787,19602.29121,30009.50436
v102,1.74,0.34,0.3,0.1,0.6,90714.39747,20325.69581,34850.61461
v103,0.3,0.34,0.4,0.1,0.2,78637.65878,20336.15846,23717.88606
v104,1.26,0.7,0.5,0.34,0.2,84308.70564,22528.26568,64654.77007
v105,0.78,0.58,0.5,0.58,0.4,84105.25204,22695.62557,60908.45549
v106,2.7,0.58,0.4,0.58,0.4,101279.4247,21255.33143,60796.36939
v107,2.7,0.22,0.4,0.34,0.8,108683.3877,17927.8921,21375.87888
v108,0.78,0.22,0.3,0.46,0.6,90593.14203,19164.66032,17694.54463
v109,0.3,0.7,0.4,0.1,0.6,65516.91558,24528.95327,87405.44408
v110,0.78,0.46,0.6,0.34,0.8,83280.15282,22810.98963,60239.18702
v111,1.74,0.34,0.6,0.34,0.6,98379.78422,20216.69076,34850.61461
v112,0.3,0.1,0.5,0.22,0.2,89796.16632,15646.27917,3992.38295
v113,2.7,0.7,0.6,0.46,0.2,100544.6542,21429.91241,64609.02114
v114,2.22,0.22,0.4,0.46,0.8,106103.3015,18277.50776,21394.96737
v115,0.3,0.7,0.4,0.58,0.2,75708.64305,23228.71033,64679.61928
v116,2.22,0.34,0.2,0.22,0.8,95010.42241,20309.68352,39658.84068
v117,2.7,0.22,0.4,0.34,0.8,108683.3877,17927.8921,21375.87888
v118,2.7,0.1,0.2,0.34,0.6,111884.4002,14419.87967,6147.130349
v119,0.78,0.1,0.4,0.7,0.8,99849.93397,16625.7346,6717.56098
v120,0.78,0.22,0.4,0.34,0.8,89589.67649,19669.50006,20302.85932
v121,2.7,0.1,0.5,0.58,0.2,119778.8098,14242.91328,4270.826679
v122,0.78,0.1,0.4,0.34,0.6,95301.59332,16136.24066,5809.612806
v123,0.78,0.22,0.1,0.58,0.6,89299.92485,19084.67442,17694.54463
v124,2.7,0.22,0.6,0.34,0.6,111622.1106,17632.35749,18696.73736
v125,2.7,0.58,0.4,0.46,0.4,99663.28332,21311.42984,60796.36939
v126,2.22,0.1,0.3,0.7,0.8,113567.4786,15236.7316,7083.314384
v127,0.3,0.58,0.3,0.34,0.2,74029.49228,22680.10719,51687.45538
v128,2.7,0.1,0.2,0.22,0.2,110840.4169,13672.92328,4270.826679
v129,0.78,0.22,0.2,0.46,0.6,89156.95873,19139.8183,17694.54463
v130,2.7,0.1,0.6,0.34,0.4,117359.7961,14480.68224,5208.978514
v131,1.26,0.34,0.3,0.34,0.8,88959.53996,21058.39727,37820.67863
v132,0.3,0.34,0.1,0.7,0.2,82973.09544,20065.66567,23717.88606
v133,0.78,0.1,0.1,0.1,0.4,87660.58438,15162.85785,4901.664633
v134,2.22,0.22,0.3,0.22,0.8,101254.661,18278.61446,21394.96737
v135,2.22,0.1,0.2,0.46,0.6,109257.8292,14791.90209,6145.654499
v136,2.7,0.7,0.2,0.46,0.8,90682.75132,23190.78404,98485.96391
v137,0.78,0.58,0.1,0.1,0.4,71242.56257,23183.13903,60908.45549
v138,0.78,0.1,0.6,0.22,0.4,96458.07697,15768.67173,4901.664633
v139,1.26,0.1,0.2,0.46,0.8,99374.39348,15843.21788,6722.342581
v140,2.7,0.58,0.4,0.58,0.6,99871.93545,21848.7187,69972.57456
v141,2.22,0.34,0.2,0.22,0.4,96867.79131,19186.14393,29993.06228
v142,1.26,0.22,0.3,0.34,0.2,95867.94055,17204.1557,12475.25884
v143,2.22,0.7,0.6,0.22,0.2,92931.34523,21863.10126,64625.55569
v144,0.78,0.34,0.5,0.58,0.8,89709.55896,21415.06853,37846.79911
v145,0.3,0.7,0.6,0.22,0.6,70074.55365,24360.42082,87405.44408
v146,0.3,0.7,0.3,0.1,0.8,62926.5057,24888.31893,98768.35648
v147,2.22,0.58,0.2,0.1,0.4,87261.65537,21913.01132,60828.18092
v148,1.26,0.1,0.5,0.46,0.2,104471.026,14965.72495,3994.91186
v149,2.22,0.34,0.3,0.34,0.8,98241.83981,20253.88663,39658.84068
v150,0.3,0.1,0.1,0.22,0.6,83237.09376,16385.39125,5805.612276
v151,1.74,0.34,0.1,0.46,0.4,94363.91375,19512.02054,30009.50436
v152,1.26,0.7,0.5,0.46,0.6,82745.57382,23582.99617,87330.89644
v153,2.7,0.34,0.6,0.7,0.4,112976.974,18799.05639,29974.56331
v154,0.78,0.58,0.1,0.7,0.6,78585.9969,23313.03238,70140.7037
v155,2.22,0.1,0.4,0.46,0.4,112298.4444,14670.48678,5207.994614
v156,1.26,0.7,0.2,0.1,0.8,71913.95884,24295.64474,98668.95962
v157,2.7,0.34,0.1,0.1,0.6,96621.43396,19539.42711,34798.20303
v158,2.7,0.1,0.3,0.34,0.8,113108.881,14715.77394,7085.282183
